neotoma_names,taxon_name
Alnus viridis subsp. fruticosa,alnus_viridis_subsp_fruticosa
Alnus viridis subsp. fruticosa-type,alnus_viridis_subsp_fruticosa_type
Alnus viridis subsp. sinuata,alnus_viridis_subsp_sinuata
Alnus viridis subsp. sinuata-type,alnus_viridis_subsp_sinuata_type
Alnus viridis subsp. suaveolens,alnus_viridis_subsp_suaveolens
Aloe,aloe
Aloe-type,aloe_type
Alopecurus magellanicus,alopecurus_magellanicus
Aloysia,aloysia
Alphitonia,alphitonia
Alseis,alseis
Alstonia,alstonia
Alstonia-type,alstonia_type
Alstonia-type (A. boonei),alstonia_type_a_boonei
Alstonia-type boonei,alstonia_type_boonei
Alstonia boonei,alstonia_boonei
Alstonia congensis,alstonia_congensis
Alstroemeria,alstroemeria
Alternanthera,alternanthera
Alternanthera-type,alternanthera_type
Alternanthera (type 1),alternanthera_type_1
Alternanthera (type II),alternanthera_type_ii
Alternanthera comp.,alternanthera_comp
Alternanthera sessilis,alternanthera_sessilis
Althaea officinalis,althaea_officinalis
Altingia excelsa comp.,altingia_excelsa_comp
Alvaradoa,alvaradoa
Alysicarpus,alysicarpus
Amaioua,amaioua
Amanoa,amanoa
Amanoa-type,amanoa_type
Amaranthaceae,amaranthaceae
Amaranthaceae-type,amaranthaceae_type
Amaranthaceae (<20 µm),amaranthaceae_smaller_than_20_mu_m
Amaranthaceae (>20 µm),amaranthaceae_bigger_than_20_mu_m
Amaranthaceae (broken),amaranthaceae_broken
Amaranthaceae (crumpled),amaranthaceae_crumpled
Amaranthaceae (small),amaranthaceae_small
Amaranthaceae (type 1),amaranthaceae_type_1
Amaranthaceae (type A),amaranthaceae_type_a
Amaranthaceae (type B),amaranthaceae_type_b
Amaranthaceae (type I),amaranthaceae_type_i
Amaranthaceae (type II),amaranthaceae_type_ii
Amaranthaceae sensu stricto,amaranthaceae_sensu_stricto
Amaranthaceae sp.,amaranthaceae_sp
Amaranthaceae undiff.,amaranthaceae_undiff
Amaranthus,amaranthus
Amaranthus-type,amaranthus_type
Amaranthus (type 1),amaranthus_type_1
Amaranthus undiff.,amaranthus_undiff
Amaryllidaceae,amaryllidaceae
Amaryllis,amaryllis
Ambrosia,ambrosia
Ambrosia-type,ambrosia_type
Ambrosia-type maritima,ambrosia_type_maritima
Ambrosia artemisiifolia,ambrosia_artemisiifolia
Ambrosia maritima,ambrosia_maritima
Ambrosia sp.,ambrosia_sp
Ambrosia/Iva,ambrosia_iva
Ambrosia/Iva annua,ambrosia_iva_annua
Ambrosia/Xanthium,ambrosia_xanthium
Ambrosiinae,ambrosiinae
Amelanchier,amelanchier
Amelanchier-type,amelanchier_type
Ammannia,ammannia
Ammannia-type,ammannia_type
Ammannia-type (A. prieuriana),ammannia_type_a_prieuriana
Ammi,ammi
Ammi-type,ammi_type
Ammi cf. A. visnaga,ammi_cf_a_visnaga
Ammi majus,ammi_majus
Amorpha,amorpha
Amorpha-type,amorpha_type
Amorpha fruticosa,amorpha_fruticosa
Ampelocera,ampelocera
Amperea,amperea
Amperea xiphoclada,amperea_xiphoclada
Amperea/Poranthera,amperea_poranthera
Amsinckia,amsinckia
Amyema,amyema
Amygdaloideae,amygdaloideae
Amyris,amyris
Anacardiaceae,anacardiaceae
Anacardiaceae (20 µm),anacardiaceae_20_mu_m
Anacardiaceae (type 16),anacardiaceae_type_16
Anacardiaceae (type 19),anacardiaceae_type_19
Anacardiaceae (type 20),anacardiaceae_type_20
Anacardiaceae (type 25),anacardiaceae_type_25
Anacardiaceae (type 30),anacardiaceae_type_30
Anacardiaceae (type 35),anacardiaceae_type_35
Anacardiaceae (type I),anacardiaceae_type_i
Anacardiaceae (type II),anacardiaceae_type_ii
Anacardiaceae (type III),anacardiaceae_type_iii
Anacardiaceae cf. Loxopterygium,anacardiaceae_cf_loxopterygium
Anacardiaceae cf. Schinus,anacardiaceae_cf_schinus
Anacardiaceae cf. Spondias,anacardiaceae_cf_spondias
Anacardiaceae undiff.,anacardiaceae_undiff
Anacardium,anacardium
Anacardium-type,anacardium_type
Anadenanthera,anadenanthera
"Anadenanthera (polyad, type 16)",anadenanthera_polyad_type_16
"Anadenanthera (polyad, type 8)",anadenanthera_polyad_type_8
